제목,아이디,댓글 내용,좋아요 수,라벨,감정
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@user-mq9mb1cx7o,경제걱정하는분이 투쟁만일삼으십니까,1,a,-1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@user-wl3lh9ji4n,당신들이나정신차리세요,1,a,-1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@user-dl3eq6qf3i,투표할때  다른당 다  찍어줘도  한국당은  절대 NO  나경원  최후에  ㅂㅇ  망국이란 말을 함부로 쓰다가 본인  스스로를 망국으로  몰고가는겨 이사람아,1,a,-1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@sk94468737,너님이나 정신 차리세요~~ㅎㅎ,1,a,1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@llllllllllllllllllllllllll5916,자한당도 싫지만 요즘에는 제대로 팩트체크하지않는 JTBC도 싫다 김어준 반만이라도 팩트체크해주라 손형 머 잡힌거있수? 왜그래?,1,a,-1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@byoungweko6164,군대 안간 넘들이 삭발하네 ㅡ군대나 가라,1,a,1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@user-uq5bn8fh4q,황교안대표 제발 정신좀차리십시요 자한당 산속으로가서 반성하시요,2,a,-1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@user-yk1wq2xg9l,자한당   스피커냐?,1,a,-1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@sangkim2696,이런 분들이 어떻게 정치를 한다는가 이런 사람들이 더 가짜뉴스를 퍼트리고 이다. 황 교안씨 하늘이 무섭지도 않나요  ??,1,a,-1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@user-yh1iv9yi2p,절을 하나차려서 모두 땡중이나해라 아니 그것만도 못한사람들 가짜뉴스는 당신이 다만들었지,1,a,-1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@sk94468737,나씨~니까짓게 뭔데 대통령님께 충고합니까~~???,1,a,-1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@user-rt5mp2jc3i,Jtbc도 삭발식에 동참하냐?뮛이 중헌디? 보도할 걸 제대로 보도하라,1,a,-1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@user-pp6kg4fh5t,니들 일본으로 가라 보기 싫다,1,a,-1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@user-tr2sk5wd9t,일이나 해라 놀고먹지말고~~~황교안 너나 정신차리시죠,1,a,-1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@gkgk212,그럼 이명박과 박근혜 세상이 올바른 세상이었냐? 황근혜야?,1,a,-1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@user-dz2di7mx6t,jtbc  자유한국당 대변인이냐? 무슨 뉴스가  자유한국당 놈들 발언으로만 대부분 채우냐?,1,a,-1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@jameskim9184,국민이 선출한 문대통령님. 사심없이 대단히 잘하고있다.,1,a,1
"한국당, 7명째 릴레이 삭발…민주 _공천은 삭발순 아냐_ 비판",@user-ow4pu5mn8o,한국당은 불교로 회교합니다.황교주께서 주지스님으로 지난날 과오를반성하고 졸개들 모두 데리고 .....,1,a,-1
한국당 50% 물갈이'_…김종배 _뒷 감당 가능할지 의문_ [라이브 썰전 H_L],@user-pt6yh3zu7u,자한당은 살려면2선이상 다 감방가고 반성하면 좋은날온다,15,a,1
한국당 50% 물갈이'_…김종배 _뒷 감당 가능할지 의문_ [라이브 썰전 H_L],@user-tt9xt6pk4x,동관이는 보수가 아니라극우지   수꼴,8,a,1
한국당 50% 물갈이'_…김종배 _뒷 감당 가능할지 의문_ [라이브 썰전 H_L],@user-nz6pv6ve1p,자한당아 기장 군수 추천한다  딱 니네 스탈이드라,14,a,1
한국당 50% 물갈이'_…김종배 _뒷 감당 가능할지 의문_ [라이브 썰전 H_L],@sangyoon3707,자한당 변론 그만하시고 담마진씨한테 공천달라고 공개 프로포즈 하세요,8,a,-1
한국당 50% 물갈이'_…김종배 _뒷 감당 가능할지 의문_ [라이브 썰전 H_L],@subok1849,"곽상도, 홍문종, 주광덕, 김재원, 김선동, 나경원, 여상규, 권성동, 김도읍, 김태흠, 민경욱, 한선교, 최교일, 전희경, 이채익, 이은재, 원유철, 심재철, 성일종, 강효상, 김진태, 김성태, 김현아,  정양석, 정진석 이분들만 있으면 된다... 에~휴수정장기 집권",3,a,-1
한국당 50% 물갈이'_…김종배 _뒷 감당 가능할지 의문_ [라이브 썰전 H_L],@user-uo9lq3yu1x,모두 낙선할것이다..,2,a,-1
한국당 50% 물갈이'_…김종배 _뒷 감당 가능할지 의문_ [라이브 썰전 H_L],@koreakim5981,이동관아 정치는생물 이랫다가 정치는과학 이랫다가 자기편한대로 떠드네ㅋ 그래서 너넬 못믿어그냥 정치는 생명공학이라해라,7,a,-1
한국당 50% 물갈이'_…김종배 _뒷 감당 가능할지 의문_ [라이브 썰전 H_L],@nanna6713,세치혀ㅋ변명하기 바쁘고ㅋㅋㅋ,1,a,1
한국당 50% 물갈이'_…김종배 _뒷 감당 가능할지 의문_ [라이브 썰전 H_L],@hansentran9148,평소 진보세력에 반하는 분이 왠 레닌어록을 쓰니?,2,a,-1
한국당 50% 물갈이'_…김종배 _뒷 감당 가능할지 의문_ [라이브 썰전 H_L],@kk95037,걱정이  없다고황교안 안봐도 헌하다 절대친박못버린다 이제까지 삶과 행동이 증명하니까,1,a,1
한국당 50% 물갈이'_…김종배 _뒷 감당 가능할지 의문_ [라이브 썰전 H_L],@waynejohn2728,말도 안되는 우기기 보는 내내 짜증 짜증제발좀 진짜 보수좀 섭외 해봐라 대한민국에  보수가 그렇게 없더냐종배님도 저양반 우기기  반복 하는데입좀 다물게 할수 있는  멘트좀 생각하고 나와요,3,a,-1
[라이브 썰전] 주제 2. 한국당 '단식·패트 저지' 딜레마…강경 투쟁 예고 (2019.11.28),@kooChoi,릴레이 황제다이어트 하면서 무슨 투쟁타령을..,2,a,-1
[라이브 썰전] 주제 2. 한국당 '단식·패트 저지' 딜레마…강경 투쟁 예고 (2019.11.28),@therisesunflagishakenkreuz7882,"임진왜란전 조선통신사는 서로 다른 보고를 올렸다. 동인과 서인 둘다 나라를 위한 일이였다고 주장하지만, 역사는 알고있다.누가 나라를 팔아 당파의 안위를 챙겼는지. 이제 같은일이 벌어졌다. 우리는 선조만큼 무능하지 않았다고 역사에 기록되길 바란다.",1,a,-1
[라이브 썰전] 주제 2. 한국당 '단식·패트 저지' 딜레마…강경 투쟁 예고 (2019.11.28),@comman73,2020년 총선에서 승리하고자 가짜뉴스와 막말을 만드는 나경원씨는 내로남불... 모순과 위선이 뭔지 제대로 보여주는 영파...,1,a,-1
[라이브 썰전] 주제 2. 한국당 '단식·패트 저지' 딜레마…강경 투쟁 예고 (2019.11.28),@user-ti9wg1ti3c,이완용 나경원  역사에 남겠네~,1,a,1
[라이브 썰전] 주제 2. 한국당 '단식·패트 저지' 딜레마…강경 투쟁 예고 (2019.11.28),@chin-jung,다시봐도 7일 단식한 사람 얼굴이 아니네 반들반들하다~~천막 안이 얼마나 더웠으면 사우나 했냐?,1,a,-1
[라이브 썰전] 주제 2. 한국당 '단식·패트 저지' 딜레마…강경 투쟁 예고 (2019.11.28),@user-vz3bt8tx6g,댓글 읽기만했었어요?  ''지지고뽁고''다좋아아요 ~어떻게미국 가서  그런말을해요? 역시 아베당   선거만이기면되는구나!!!챙피합니다  나경원,1,a,-1
[라이브 썰전] 주제 2. 한국당 '단식·패트 저지' 딜레마…강경 투쟁 예고 (2019.11.28),@user-sd7mf3wq6r,정치적이고 자한당의 당익과 본인의 돌파구라는 해석 하지마라그냥 잘못한 짓이다말끝마다 국가와 국민을 씨부리는게 뭔 개떡치는 소리냐?그냥 나쁜짓 한거다절대 용서 받을수없는 짓거리를한거다검찰 수사 왜 이리 더디냐?진짜 전국민이 일어나게 만드는구나이제 한계가 왔다,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@jungwoochoi8271,이렇게 타임라인 맞춰서 기사를 주제별로 편집해서 올려주시는 거 처음 보게 됐는데 괜찮네요- 응원합니다-,5,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-ww8bp6vu8m,천안분들귀하신분출마 하십니다……길쓸어라 물청소해라 납시신다……유권자의선택,37,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-qe3fi5vs9c,"역시 기대를 저버리지 않습니다.자일당스럽습니다.내년 총선은 한,일전입니다.",58,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-ke5td4pg7z,갑질이 아니라 같이 파티를 한거라고?ㅎㅎ 대박이네 이 양반,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@ygr5314,영입이 됐어야 자한당 꼴이볼만했울텐데 아쉽네~,17,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@jongbumkim6295,"박모시기 대장님은 정말 구세주시네요...난세에 늘 영웅이 태어난다는 것을 다시한번 입증해 주었어요.고맙습니다. 자한당 정체성을 확인해 주어서요.박모시기님을 삼청교육대 교육을 한 번 받게한 다음 기자회견장에 나오게 한디면 어떨까요? 그 효과가 어떨지 정말 궁금해지네요.정신이상자로 만들던지, 심하면 죽어 나온다는 전설의 교육훈련 프로그램을 그분이 소화를 하고 나서의 모습이 말입니다.",1,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-du6fn1hh9k,전 아직 흐릿하지만 믿고싶어요.손사장님 jtbc 아직 우리가 놓기엔 넘 많은 일들을햇어요.조선tv.채널A를 받아들이기엔 손사장님이 넘 그리워요.자한당이 정권잡으면 그땐 온국민이 슬퍼집니다.수고하세요,1,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@photojenix,어차피 저것들 밀실정치 밖에 못하잖아 정치를 할줄도 모르고 세금도둑질만 잘하지,24,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@ch-qz5qh,박전대장 멋있다내년에 꼭 당선되서 삼청교육재 만들어서 자한당 의원들 교육좀 부탁드립니다,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-vg2qy2bd1z,이것이 자한당 수준이다 그동안 조국에게 가려서 못본거지 ㅎㅎ,145,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@joy4cho861,박찬주님 황교환 님힘내세요.,1,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-el1rz4so3j,황빡이가 귀하게 여길만한 위인이네.,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@csj-mj6gc,정말 귀한분을 국민들은 왜 못알아보는거니~허허허~~웃는것도 공작검사답다.,17,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-nu7vo8mq8k,"박찬주 잘한다. 발목당 전체 삼청교육대에 보내서 교육을 받아야 한다. 유격, 극기 체험으로 ~~~황교안 잘한다.앞으로도 쭈우욱 해주기를 바란다.",1,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-vv9qb9sn8c,자한당 공화당 수준알만하네  박찬주씨  당신아들 내밑으로 취업좀시켜보세요 확실하게 갑질이 뭔지 보여줄테니,14,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@dustjd3338,박찬주는 자유한국당에 꼭필요한 인재이다제발 영입해라  제발! 자유당에가야지!,2,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@jamespi1984,박찬주 선생님은 진정한 애국자이십니다.윤봉길의사 맹키로 폭탄안고 자한당 괴멸 시켜 주시려고 홀연단신 희생하시니.감사합니다. 박찬주의사님.,1,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-gl7pl4of8b,찬주씨 한국당 강력추천 당신으로인해 한국당이 완전 자멸하기를 원한다,18,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@cholpak6836,박잔주대장   대단한 인물이네.한국당의   제2의   조국이다...ㅎ ㅎ,1,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-xg1or3if6h,이야 잘어울려 진짜 자한당스러운 인간이네 아주 태가 살어ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 황교안은 전광훈도 언능 영입해라,40,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-pz6ty3ce4u,황교안대표님과 박찬주대장님을 존경하며 영입하여 출마를 기원합니다.박찬주 파이팅!,1,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-ec5on5pg8u,자한당 풍년이네 ㅋㅋㅋ풍년은 풍년인데 xx이 풍년이야 ㅎㅎxx는 알아서 생각들 하시길 ㅎㅎ,27,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-cg9jo8en4u,삼청교육대를 다시만든다면일타자로 박찬주같은 사람을 제일먼저 보내야한다.그래야만  정신차리겠지 ㅋ,26,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-pw2um8wu5n,황교안씨 정말 부끄럽지 않으신가?,14,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-rk8ke3by1l,박찬주 본인부터 삼청교육 시범으로 받지,13,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@luminos5133,"하여간 문재인 대통령이 저런 야당 만난 것 만큼은 천복을 타고 난 것......... ""배제라니요? 정말 귀한 분이에요. 하하하""  ㅋㅋㅋ",35,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@tonypark8649,"인재같은 소리하고 있네, 참 우습다.",44,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-gh9hw6ve5e,ㅋㅋ내 남편인데..ㅎㅎ관여를 안했다라..말도 안돼는..지들끼리 다해처먹으면서 청년 정책을말 할수 있냐?,36,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@heunggon1004,명단 배제하고 아니라고하면서 정말 귀한분 이란다ㅋㅋㅋ,5,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-ty6by2zk1d,자한당이 잔여~~  내비둬 하던지 말던지 이런당을 찍어주는 사람이 이상한거지,8,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-cu6kw5pj1t,아ㅡ아깝습니다 자한에 꼭 입당했어야할 박찬주ㅡ,51,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@oganesson0,둘다 개독에 갑질이라는 공통점과셀프 용서는 엄청 잘함 5공  시절에 살고 있음계엄령 삼청교육대,42,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-vo7xp9fn7r,야  감 니가따라 그리고 삼청교육대 너가가라,15,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-oi2mg2gj9l,이들은 통합의 목적을 국민을 편가르기 위한 것이 아닌가!지들의 목표 달성을 위해 쓰레기들을 무조건 영입 하고 가치가 없다고 생각되면 여지없이 차버리고 다시 ~~~,5,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-or6hn8qk5p,정치검사.정치군인.민주주의 국민의 이름으로사양한다. 지금까지 당하고있는것도 모자라 스멀스멀 기어드는 못된것들,6,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-tr4oc6ft5t,황교안이야말로귀한분입니닫계속 쭉 야당대표로 남으시길..문대통령은 몬 야당복인지몰라,10,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-vg2qy2bd1z,저런 찌지리가 야당대표 개가웃는다 슬프다,12,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-uq1ni5cu2x,솔찍히 황교안은 허수아비지 주변에서 쥐고 흔드는 캐릭터아님??,25,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@prodnax,그래~ 황씨 잘한다! 쓰레기 긁어모아 소각장으로 가자!,12,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@monggor1,삼청교육대가 정치적으로 어떻게 이용됐는지 지금이시대에 와서도 여실히 보여주는거아닌가,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-rl7zx6qh7f,ㅎㅎㅎ진짜 궁금해진다. 저분들은 어떤 생각을 가지고 살아오셨는지? 어떻게 하나같이 다 저럴수 있는지?,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@youngkil958,거지 난장판당.  차라리.  거지들 영입해라. 그 중에. 머리 똑똑한 사람.  있을테니까 ....,23,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-gq6ml5db6k,머리마이길었네~ 또 밀어야제,14,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@ranglee9047,논란만 커지는 이유가 먼지 궁금해? 사실을 감추려고 하니 논란만 생기는것,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-pd6jk1js5f,이런사람이 나라를 대표하는 사람이 된다면~~이건 안되는 일입니다 정신차려야합니다,2,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-xb4ou7xs3d,원래 한국당은 비리 세습  탈세   이런단어가 어울리지,5,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-jb5uf3wt4p,증말정치가 유치원 수준도아니고 정치인들뿐아니라 저렇게 장난질해도 월급니가니까장난질 하는거같다,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@ehs3863,인형놀이 하러 국회나가냐 자한당들은?,7,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-ob6hz5jj9w,ㅎㅎ 배째라뇨 흉한인제에요ㅋㅋ 웃프다박찬주가 삼청교육 한번 받아봐야 조딩이를 함부러 안놀리지,6,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-hb2iu9fu4k,과거에 하던 짓 그대로 하는데 이젠 놀랍지도 않다,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@My_mama_,저런자가 무슨정치를한다고. 죄값이나 치루는게 순서지.,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-sf8zj9qo4z,갑질대장 한테 무슨~?? 삭발만하면 인재인데ㅋㅋ,4,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@heath0815,삼청교육대라니... !!!!,4,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-vz3sl1ot4s,귀한분 ㅋㅋㅋㅋ,14,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@kjh71717,고딩졸업하고 육사들아가서그동안 각종 군내 특권을 누렸으니 정신상태가 이모양인게 이해간다,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@kankan8969,남편이 어떻게 했길래 부인마저도 갑질이냐........남으 귀한 아들 들을  전타팔찌를 채워기까지하냐.,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@limetree9478,자한당 안에 제대로 됀  인간이 있는지 ㅋㅋ리더쉽?   웃긴다,4,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@seongeunmoon6254,저런 놈들이 다시 청와대를 차지하면 또 국민들을 억압하고 삼청교육대를 만들려하겠지,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-ever33,"뭐눈에는 뭐밖에 안보인다고,귀한분이시란다.",1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-om9dh6sh9g,이것들은 왜이모양이지쯧쯧툇,5,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@smjeung2able,삼청교육대 한번더 만들어서 사회정화를 하자...,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@ehrud11260930,꼭 저 같은 놈들만 데려오는군잘하는 짓이야ㅋ,4,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-sb9rc2ps8q,자한당은박찬주 장군을 꼭 영입해주세요제발요,4,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@neiyanlee3952,저런당이 아직도 큰소리를 내고 있다는게우리 대한민국의 수준을 말해준다,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@kellykim6059,오마이갓! 리더쉽이라는게 있긴있었는가??,1,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-sf8zj9qo4z,그나마 장씨는 요즘 바른말하네.. 그나물그밥에서ㅋ,3,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-db5gv4vh6q,그래 정말 귀하다 부침개싸다귀를 알리신 귀한분,3,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-ng6yx3eq1u,두번 귀하다가는 큰일 나겠네요. 남의 집 천한 자식들 다 삼청교육대 보내겠네요....,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-rd4yn4ei4y,저런애가 국회의원 되면 지 지역구 감은 지  찍어준 유권자가 다 따야겠구나,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@broadsiesta2393,저딴 역사관과 생각을 가진게 육군대장었다니 얼마나 썩어 빠진 군대였던가,1,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-cj2xh2vw4s,박찬주   ~~홧팅♡♡♡잘~~하고  있어요,1,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-nj2er9vy1q,당대표로도딱~어울리는데?,3,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-dv4tt5dy3d,황형이 자한당 몰락시키네 ㅋㅋ 일부러 이런 사람을 뽑는 것도 대단하다,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-fu4ek1mm2e,"""정말 귀한 분이에요.""",1,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-hu9bb8no7w,황교안 답답합니다,7,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@marinakyungheepark4213,누가 함부로 댓글을 맘데로 고치냐!!!,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-kc7kt9sq1l,5공 뿌리들이 삼청교육대입소해서  석달열흘만 교육받으면 인간이 될것같다,1,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-tk1eo4se4l,나라 말아먹은 인간이당 하나 해먹는거 일도 아니지ㅋㅋ사람보는눈보면 그사람 수준 알듯한마디로 노답임,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@hansentran9148,미친...,3,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-xb4ou7xs3d,박대장것아 ...니아들부터 보내~~  삼청교육대지아들은 별개.지....??  썩을,11,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@lionhunterrabbit8518,귀한분...ㅎㅎㅎㅎ..ㅋㅋㅋ.. 잘한다 한국당..,1,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-zx3yn1rb4l,저런쉭기가대장자리까지갔다는게대한민국수치다,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-yi7ob9vl4u,5공 공안검사 출신이 5공 장군을 영입했다 ㅋㅋㅋㅋㅋㅋ,2,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-tr8nt2qg8c,골~때린 당!,2,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-bq2ye5we7u,배제라니요?허허허 토나온다ㅋㅋㅋ,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-xb4ou7xs3d,ㅉㅈ   찿고 찿은 인재라고 찿은 인물이 조국 발끝도 안되냐?,15,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@yoonsanghun,스스로 몰락한 박찬주,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@kevinlee6404,홍대장이 답이다,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-nw3qv4bx4o,저런 인간이니까  공관병 육군대장이 일병 하고 다투냐? 대한민국 육군대장아 그냥 할복 하라 그게 군인 정신이다.,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-ig8jx5yz2y,갑질이 몸에 밴 인간이여  박갑질로 개명해라,1,a,-1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-ev7ix5fb1v,잘한다 황지맘대로당 ㅋ,1,a,1
[이슈정주행] _삼청교육대_ 박찬주 회견이 부른 파장…흔들리는 한국당,@user-vc3oi6hm7n,댓글에 한일전 ㅋㅋ 졸 웃겼음,1,a,-1
